,Initial Capital,Final Equity,Total Return %,Annualized Return %,Max Drawdown %,Total Trades,Win Rate %,Sharpe Ratio,Sortino Ratio,trend_ema,fast_ema,slow_ema,signal_ema,atr_period,atr_mult,rsi_upper,rsi_lower,enable_trailing,trailing_trigger_atr,trailing_dist_atr,enable_partial_take_profit,take_profit_atr,tp_size,risk_per_trade
50,10000,31625.695704904196,216.25695704904197,29.51632209173156,-25.352897666816137,50,46.0,1.0200630351706377,0.9581383764237067,200,15,26,9,14,1.5,80,25,False,2.0,1.0,True,4.0,0.5,0.95
44,10000,31625.695704904196,216.25695704904197,29.51632209173156,-25.352897666816137,50,46.0,1.0200630351706377,0.9581383764237067,200,15,26,9,14,1.5,80,25,False,1.5,1.5,True,4.0,0.5,0.95
20,10000,30888.63381479751,208.88633814797512,28.832065598482835,-24.42831963329882,50,54.0,1.0591532203892986,0.8808959969908088,200,15,26,9,14,1.5,80,25,True,2.0,1.5,True,4.0,0.5,0.95
19,10000,30792.54098981856,207.92540989818562,28.74192709336516,-25.502187136434507,50,54.0,1.084304453178133,0.8898591792075017,200,15,26,9,14,1.5,80,25,True,2.0,1.5,True,3.0,0.5,0.95
35,10000,30460.675795926607,204.60675795926608,28.428938658739987,-25.007447466221915,50,48.0,1.008081533221802,0.8536179219007302,200,15,26,9,14,1.5,80,25,True,3.0,1.5,False,4.0,0.5,0.95
33,10000,30460.675795926607,204.60675795926608,28.428938658739987,-25.007447466221915,50,48.0,1.008081533221802,0.8536179219007302,200,15,26,9,14,1.5,80,25,True,3.0,1.5,False,2.0,0.5,0.95
34,10000,30460.675795926607,204.60675795926608,28.428938658739987,-25.007447466221915,50,48.0,1.008081533221802,0.8536179219007302,200,15,26,9,14,1.5,80,25,True,3.0,1.5,False,3.0,0.5,0.95
67,10000,30395.421462079816,203.95421462079815,28.367085284021964,-25.493095088256123,50,46.0,1.0320628280319606,0.9855854021888737,200,15,26,9,14,1.5,80,25,False,3.0,1.5,True,3.0,0.5,0.95
61,10000,30395.421462079816,203.95421462079815,28.367085284021964,-25.493095088256123,50,46.0,1.0320628280319606,0.9855854021888737,200,15,26,9,14,1.5,80,25,False,3.0,1.0,True,3.0,0.5,0.95
49,10000,30395.421462079816,203.95421462079815,28.367085284021964,-25.493095088256123,50,46.0,1.0320628280319606,0.9855854021888737,200,15,26,9,14,1.5,80,25,False,2.0,1.0,True,3.0,0.5,0.95
55,10000,30395.421462079816,203.95421462079815,28.367085284021964,-25.493095088256123,50,46.0,1.0320628280319606,0.9855854021888737,200,15,26,9,14,1.5,80,25,False,2.0,1.5,True,3.0,0.5,0.95
43,10000,30395.421462079816,203.95421462079815,28.367085284021964,-25.493095088256123,50,46.0,1.0320628280319606,0.9855854021888737,200,15,26,9,14,1.5,80,25,False,1.5,1.5,True,3.0,0.5,0.95
